tick;ClassName;InstanceName;Description;Market;BidType;PriceOffered;PriceCleared;QuantityOffered;QuantityAssigned;Capacity;MustRunViolation
0;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;-63,91;10;10;40;
1;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;21,3;10;10;40;
2;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;21,97;10;10;40;
3;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;22,02;10;10;40;
5;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,87;10;10;40;
6;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,87;10;10;40;
8;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;20,8;10;10;40;
11;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,58;10;10;40;
12;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10;10;40;
24;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;-10,21;10;10;40;
26;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10;10;40;
27;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10;10;40;
29;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10;10;40;
30;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10;10;40;
33;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10;10;40;
34;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10;10;40;
35;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10;10;40;
40;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,87;10;10;40;
44;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;21,63;10;10;40;
46;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10;10;40;
47;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10;10;40;
51;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10;10;40;
52;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;20,75;10;10;40;
53;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;21,3;10;10;40;
54;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;21,3;10;10;40;
56;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;21,58;10;10;40;
60;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;23,89;10;10;40;
62;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_DEMAND;3000;23,47;10;10;40;
64;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;30;10;10;40;
65;LearningStorage;No2;agdgasdfa;SPOT_MARKET;ENERGY_SUPPLY;-3000;24,55;10;10;40;
