tick;price
0;3.000
1;3.000
2;3.000
3;3.000
4;3.000
5;3.000
6;3.000
7;3.000
8;3.000
9;3.000
10;3.000
11;3.000
12;3.000
13;3.000
14;3.000
15;3.000
16;3.000
17;3.000
18;3.000
19;3.000
20;3.000
21;3.000
22;3.000
23;3.000
24;3.000
25;3.000
26;3.000
27;3.000
28;3.000
29;3.000
30;3.000
31;3.000
32;3.000
33;3.000
34;3.000
35;3.000
36;3.000
37;3.000
38;3.000
39;3.000
40;3.000
41;3.000
42;3.000
43;3.000
44;3.000
45;3.000
46;3.000
47;3.000
48;3.000
49;3.000
50;3.000
51;3.000
52;3.000
53;3.000
54;3.000
55;3.000
56;3.000
57;3.000
58;3.000
59;3.000
60;3.000
61;3.000
62;3.000
63;3.000
64;3.000
65;3.000
66;3.000
67;3.000
68;3.000
69;3.000
70;3.000
71;3.000
72;3.000
73;3.000
74;3.000
75;3.000
76;3.000
77;3.000
78;3.000
79;3.000
80;3.000
81;3.000
82;3.000
83;3.000
84;3.000
85;3.000
86;3.000
87;3.000
88;3.000
89;3.000
90;3.000
91;3.000
92;3.000
93;3.000
94;3.000
95;3.000
96;3.000
97;3.000
98;3.000
99;3.000
100;3.000
101;3.000
102;3.000
103;3.000
104;3.000
105;3.000
106;3.000
107;3.000
108;3.000
109;3.000
110;3.000
111;3.000
112;3.000
113;3.000
114;3.000
115;3.000
116;3.000
117;3.000
118;3.000
119;3.000
120;3.000
121;3.000
122;3.000
123;3.000
124;3.000
125;3.000
126;3.000
127;3.000
128;3.000
129;3.000
130;3.000
131;3.000
132;3.000
133;3.000
134;3.000
135;3.000
136;3.000
137;3.000
138;3.000
139;3.000
140;3.000
141;3.000
142;3.000
143;3.000
144;3.000
145;3.000
146;3.000
147;3.000
148;3.000
149;3.000
150;3.000
151;3.000
152;3.000
153;3.000
154;3.000
155;3.000
156;3.000
157;3.000
158;3.000
159;3.000
160;3.000
161;3.000
162;3.000
163;3.000
164;3.000
165;3.000
166;3.000
167;3.000
168;3.000
169;3.000
170;3.000
171;3.000
172;3.000
173;3.000
174;3.000
175;3.000
176;3.000
177;3.000
178;3.000
179;3.000
180;3.000
181;3.000
182;3.000
183;3.000
184;3.000
185;3.000
186;3.000
187;3.000
188;3.000
189;3.000
190;3.000
191;3.000
